"Table 1.2a: Annual hours when PM10 pollution was moderate or higher, for roadside sites, 1997 to 2018",,,,,,,,,
,,,,,,,,,
Year,Site,4 Moderate,5 Moderate,6 Moderate,7 High,8 High,9 High,10 Very High,Total Hours
2017,Stockton-on-Tees Eaglescliffe,0,0,0,0,0,0,0,0
2018,Stockton-on-Tees Eaglescliffe,55,1,0,0,0,0,0,56
2002,Stockton-on-Tees Yarm,211,131,63,30,0,0,0,435
2003,Stockton-on-Tees Yarm,312,327,228,134,50,23,1,"1,075"
2004,Stockton-on-Tees Yarm,176,60,25,5,0,0,0,266
2005,Stockton-on-Tees Yarm,68,40,9,15,0,0,0,132
2006,Stockton-on-Tees Yarm,156,41,32,25,14,0,0,268
2007,Stockton-on-Tees Yarm,73,77,46,24,33,14,18,285
2016,Stoke-on-Trent A50 Roadside,106,33,19,0,0,0,0,158
2017,Stoke-on-Trent A50 Roadside,58,16,0,0,0,0,0,74
2018,Stoke-on-Trent A50 Roadside,17,0,0,0,0,0,0,17
2010,Storrington Roadside,47,6,0,0,0,0,0,53
2011,Storrington Roadside,182,96,42,26,13,0,0,359
2012,Storrington Roadside,109,106,18,0,0,0,0,233
2015,Storrington Roadside,27,9,7,0,0,0,0,43
2016,Storrington Roadside,43,28,0,0,0,0,0,71
1997,Sutton Roadside,285,163,133,82,46,24,38,771
1998,Sutton Roadside,222,99,30,9,13,3,0,376
1999,Sutton Roadside,77,14,0,0,0,0,0,91
2000,Sutton Roadside,168,65,0,0,0,0,0,233
2001,Sutton Roadside,170,60,20,16,30,3,0,299
2007,Swansea Roadside,55,18,65,26,0,0,0,164
2008,Swansea Roadside,25,28,55,21,8,0,0,137
2009,Swansea Roadside,22,43,22,15,2,0,0,104
2010,Swansea Roadside,0,0,0,0,0,0,0,0
2012,Swansea Roadside,72,46,4,0,0,0,0,122
2013,Swansea Roadside,25,11,0,0,0,0,0,36
2014,Swansea Roadside,38,37,5,0,0,0,0,80
2015,Swansea Roadside,26,20,9,3,0,0,0,58
2016,Swansea Roadside,17,0,0,0,0,0,0,17
2017,Swansea Roadside,35,17,0,0,0,0,0,52
2018,Swansea Roadside,8,0,0,0,0,0,0,8
2008,York Fishergate,108,77,41,14,10,14,0,264
2009,York Fishergate,74,27,0,0,0,0,0,101
2010,York Fishergate,52,17,0,0,0,0,0,69
2012,York Fishergate,111,55,32,12,0,0,0,210
2013,York Fishergate,28,9,29,16,9,21,0,112
2014,York Fishergate,44,66,68,15,0,0,0,193
2015,York Fishergate,113,56,13,0,0,0,0,182
2016,York Fishergate,15,12,16,16,0,0,0,59
2017,York Fishergate,83,41,13,0,0,0,0,137
2018,York Fishergate,20,28,20,0,0,0,0,68
,,,,,,,,,
1. Annual hours from individual monitoring sites are included if at least 75% data capture is achieved for the year concerned.,,,,,,,,,
2. The annual mean for 'All Sites' in a given year is the mean hours of all sites included in the table for that year.,,,,,,,,,
3. The categories relate to those defined by the Daily Air Quality Index.,,,,,,,,,
